resident_id,area,HID,household_id,sex,age_group,education_level,labour_force_status,household_income,family_status,household_size,household_type,person_uid,citizenship_status,immigrant_status,commute_mode,commute_duration,dwelling_type,tenure,bedrooms,period_built,dwelling_condition,core_housing_need
R001,DA-101,H001,HH001,Female,25 to 34 years,Bachelor degree,Employed full-time,$80k to $119k,Couple without children,2,Couple household,P001,Canadian citizen,Non-immigrant,Public transit,45 to 59 minutes,Apartment in a building that has five or more storeys,Renter,2,1991 to 2000,Regular maintenance only,No
R002,DA-101,H002,HH002,Male,35 to 44 years,College certificate,Employed full-time,$120k and over,Couple with children,4,Couple household with children,P002,Canadian citizen,Non-immigrant,"Car, truck or van",15 to 29 minutes,Single-detached house,Owner,4,1981 to 1990,Regular maintenance only,No
R003,DA-102,H003,HH003,Female,65 years and over,High school diploma,Not in labour force,$40k to $59k,Person not in census family,1,One-person household,P003,Canadian citizen,Non-immigrant,Walked,Less than 15 minutes,Apartment in a building that has five or more storeys,Renter,1,1960 or before,Needs minor repairs,Yes
R004,DA-102,H004,HH004,Male,45 to 54 years,Bachelor degree,Employed part-time,$60k to $79k,Lone-parent family,3,One-parent family household,P004,Canadian citizen,Immigrant,Public transit,60 minutes and over,Apartment in a building that has fewer than five storeys,Renter,3,1971 to 1980,Needs minor repairs,Yes
R005,DA-103,H005,HH005,Female,25 to 34 years,University certificate below bachelor,Employed full-time,$60k to $79k,Couple without children,2,Couple household,P005,Canadian citizen,Immigrant,Bicycle,15 to 29 minutes,Row house,Owner,2,2001 to 2010,Regular maintenance only,No
R006,DA-103,H006,HH006,Male,15 to 24 years,High school diploma,Not in labour force,$20k to $39k,Child in census family,4,Couple household with children,P006,Canadian citizen,Non-immigrant,Public transit,30 to 44 minutes,Semi-detached house,Owner,3,1991 to 2000,Regular maintenance only,No
R007,DA-104,H007,HH007,Female,55 to 64 years,College certificate,Employed full-time,$80k to $119k,Couple without children,2,Couple household,P007,Canadian citizen,Non-immigrant,"Car, truck or van",30 to 44 minutes,Single-detached house,Owner,3,1961 to 1970,Needs major repairs,No
R008,DA-104,H008,HH008,Male,65 years and over,No certificate diploma or degree,Not in labour force,$20k to $39k,Person not in census family,1,One-person household,P008,Canadian citizen,Immigrant,"Car, truck or van",Less than 15 minutes,Single-detached house,Owner,2,1960 or before,Needs minor repairs,Yes
R009,DA-105,H009,HH009,Female,35 to 44 years,Master degree,Employed full-time,$120k and over,Couple with children,5,Couple household with children,P009,Canadian citizen,Non-immigrant,"Car, truck or van",15 to 29 minutes,Single-detached house,Owner,4,2011 to 2020,Regular maintenance only,No
R010,DA-105,H010,HH010,Male,45 to 54 years,College certificate,Employed full-time,$80k to $119k,Couple with children,4,Couple household with children,P010,Canadian citizen,Non-immigrant,"Car, truck or van",30 to 44 minutes,Semi-detached house,Owner,3,2001 to 2010,Regular maintenance only,No
R011,DA-106,H011,HH011,Female,25 to 34 years,Bachelor degree,Employed part-time,$40k to $59k,Person not in census family,1,One-person household,P011,Canadian citizen,Non-immigrant,Public transit,30 to 44 minutes,Apartment in a building that has fewer than five storeys,Renter,1,1981 to 1990,Regular maintenance only,No
R012,DA-106,H012,HH012,Male,35 to 44 years,High school diploma,Unemployed,$20k to $39k,Lone-parent family,2,One-parent family household,P012,Canadian citizen,Immigrant,Public transit,60 minutes and over,Apartment in a building that has five or more storeys,Renter,2,1971 to 1980,Needs minor repairs,Yes
R013,DA-107,H013,HH013,Female,55 to 64 years,College certificate,Employed full-time,$60k to $79k,Couple without children,2,Couple household,P013,Canadian citizen,Non-immigrant,"Car, truck or van",15 to 29 minutes,Row house,Owner,3,1991 to 2000,Regular maintenance only,No
R014,DA-107,H014,HH014,Male,25 to 34 years,Bachelor degree,Employed full-time,$80k to $119k,Couple without children,2,Couple household,P014,Canadian citizen,Immigrant,Worked at home,Not applicable,Apartment in a duplex,Owner,2,2001 to 2010,Regular maintenance only,No
R015,DA-108,H015,HH015,Female,65 years and over,High school diploma,Not in labour force,$40k to $59k,Couple without children,2,Couple household,P015,Canadian citizen,Non-immigrant,"Car, truck or van",Less than 15 minutes,Semi-detached house,Owner,2,1961 to 1970,Needs minor repairs,No
R016,DA-108,H016,HH016,Male,45 to 54 years,No certificate diploma or degree,Employed full-time,$40k to $59k,Couple with children,5,Couple household with children,P016,Canadian citizen,Immigrant,"Car, truck or van",45 to 59 minutes,Single-detached house,Renter,3,1971 to 1980,Needs major repairs,Yes
R017,DA-109,H017,HH017,Female,15 to 24 years,College certificate,Employed part-time,$20k to $39k,Roommate or non-family household,3,Other household,P017,Canadian citizen,Non-immigrant,Public transit,30 to 44 minutes,Apartment in a building that has five or more storeys,Renter,3,2011 to 2020,Regular maintenance only,No
R018,DA-109,H018,HH018,Male,35 to 44 years,Master degree,Employed full-time,$120k and over,Couple without children,2,Couple household,P018,Canadian citizen,Immigrant,Worked at home,Not applicable,Apartment in a building that has five or more storeys,Owner,2,2011 to 2020,Regular maintenance only,No
R019,DA-110,H019,HH019,Female,45 to 54 years,Bachelor degree,Employed full-time,$80k to $119k,Couple with children,4,Couple household with children,P019,Canadian citizen,Non-immigrant,"Car, truck or van",15 to 29 minutes,Single-detached house,Owner,4,1981 to 1990,Regular maintenance only,No
R020,DA-110,H020,HH020,Male,55 to 64 years,High school diploma,Not in labour force,$20k to $39k,Person not in census family,1,One-person household,P020,Canadian citizen,Immigrant,Public transit,45 to 59 minutes,Apartment in a building that has fewer than five storeys,Renter,1,1960 or before,Needs major repairs,Yes
